0,屋号,営業所所在地,営業所所在地ビル名,営業者氏名,営業者住所,営業の種類,申請区分,営業所電話番号,初回許可日,営業者電話番号,代表者氏名
1,麺処　薫,東京都あきる野市伊奈１０９２番地１,,,,飲食店営業(一般飲食店),新規,042-519-9920,2017/11/15,,
2,土屋美術館,東京都あきる野市伊奈１２９３番地１,,株式会社　土屋デザイン,東京都あきる野市伊奈１２９３番地１,喫茶店営業(店舗),更新,042-595-3460,1999/3/30,042-595-3455,土屋 幹夫
3,やきとり　鳥辰,東京都あきる野市伊奈１５２５番地,,,,飲食店営業(一般飲食店),新規,042-595-0882,2017/3/29,,
4,業務スーパーあきる野店,東京都あきる野市伊奈４４６番地３,,株式会社G＆Lマート,東京都八王子市田町２番５号,乳類販売業(ショーケース売り),新規,042-533-8177,2017/8/29,042-628-2426,鈴木　孝子
5,業務スーパーあきる野店,東京都あきる野市伊奈４４６番地３,,株式会社G＆Lマート,東京都八王子市田町２番５号,食肉販売業(包装),新規,042-533-8177,2017/8/29,042-628-2426,鈴木　孝子
6,業務スーパーあきる野店,東京都あきる野市伊奈４４６番地３,,株式会社G＆Lマート,東京都八王子市田町２番５号,魚介類販売業(包装),新規,042-533-8177,2017/8/29,042-628-2426,鈴木　孝子
7,業務スーパーあきる野店,東京都あきる野市伊奈４４６番地３,,株式会社G＆Lマート,東京都八王子市田町２番５号,食料品等販売業(店舗),新規,042-533-8177,2017/8/29,042-628-2426,鈴木　孝子
8,いなげや  あきる野北伊奈店,東京都あきる野市伊奈４９４番地１,,株式会社  いなげや,東京都立川市栄町６丁目１番地の１,飲食店営業(弁当屋),更新,042-595-3811,2003/9/30,0425-37-5121,成瀬　直人
9,いなげや  あきる野北伊奈店,東京都あきる野市伊奈４９４番地１,,株式会社  いなげや,東京都立川市栄町６丁目１番地の１,菓子製造業(パン製造業),更新,042-595-3811,1996/10/1,0425-37-5121,成瀬　直人
10,いなげや  あきる野北伊奈店,東京都あきる野市伊奈４９４番地１,,株式会社  いなげや,東京都立川市栄町６丁目１番地の１,乳類販売業(ショーケース売り),更新,042-595-3811,1996/10/1,0425-37-5121,成瀬　直人
11,いなげや  あきる野北伊奈店,東京都あきる野市伊奈４９４番地１,,株式会社  いなげや,東京都立川市栄町６丁目１番地の１,魚介類販売業(一般),更新,042-595-3811,1996/10/1,0425-37-5121,成瀬　直人
12,いなげや  あきる野北伊奈店,東京都あきる野市伊奈４９４番地１,,株式会社  いなげや,東京都立川市栄町６丁目１番地の１,食料品等販売業(店舗),更新,042-595-3811,1996/10/1,0425-37-5121,成瀬　直人
13,酒処  駒,東京都あきる野市伊奈８０８番地１０,,,,飲食店営業(一般飲食店),更新,042-595-3879,1993/11/1,,
14,帝国ブランド,東京都あきる野市伊奈８０８番地１１,,,,菓子製造業(生菓子製造業),更新,042-596-5087,2005/5/18,,
15,ローソン武蔵増戸駅前店,東京都あきる野市伊奈８９１番地１,,,,飲食店営業(一般飲食店),新規,042-596-2662,2017/7/28,,
16,ローソン武蔵増戸駅前店,東京都あきる野市伊奈８９１番地１,,,,乳類販売業(ショーケース売り),新規,042-596-2662,2017/7/28,,
17,ローソン武蔵増戸駅前店,東京都あきる野市伊奈８９１番地１,,,,食肉販売業(包装),新規,042-596-2662,2017/7/28,,
18,ローソン武蔵増戸駅前店,東京都あきる野市伊奈８９１番地１,,,,魚介類販売業(包装),新規,042-596-2662,2017/7/28,,
19,ローソン武蔵増戸駅前店,東京都あきる野市伊奈８９１番地１,,,,食料品等販売業(店舗),新規,042-596-2662,2017/7/28,,
20,HANAE Curry,東京都あきる野市引田８９２番地,,,,飲食店営業(一般飲食店),新規,,2017/6/9,,
21,乙幡商店,東京都あきる野市雨間１０３６番地,,,,飲食店営業(弁当屋),新規,,2017/3/27,,
22,川太郎,東京都あきる野市雨間１５８１番地,,,,飲食店営業(一般飲食店),更新,,1997/8/1,,
23,ぎょうざキッチン＆Ｃａｆｅ　つむぐ,東京都あきる野市雨間３１０番地７,,,,菓子製造業(その他の菓子製造業),新規,042-595-5063,2017/9/1,,
24,マルセン,東京都あきる野市雨間６７４番地,,,,飲食店営業(一般飲食店),新規,,2017/7/19,,
25,マルセン,東京都あきる野市雨間６７４番地,,,,飲食店営業(仕出し屋),新規,,2017/7/19,,
26,マルセン,東京都あきる野市雨間６７４番地,,,,乳類販売業(専業),新規,,2017/7/19,,
27,マルセン,東京都あきる野市雨間６７４番地,,,,食肉販売業(包装),新規,,2017/7/19,,
28,マルセン,東京都あきる野市雨間６７４番地,,,,魚介類販売業(一般),新規,,2017/7/19,,
29,マルセン,東京都あきる野市雨間６７４番地,,,,食料品等販売業(包装),新規,,2017/7/19,,
30,味処　魚路,東京都あきる野市雨間７３７番地４,,,,飲食店営業(一般飲食店),更新,042-559-3150,2005/9/7,,
31,憩いの空間　里舎,東京都あきる野市乙津１２６２番地,,,,飲食店営業(一般飲食店),更新,042-596-0747,2005/3/30,,
32,Otsu　Nature　Garden,東京都あきる野市乙津１２９３番地,,東京あきる野アウトドアリゾート株式会社,東京都あきる野市伊奈１１４５番地,飲食店営業(一般飲食店),新規,,2017/5/16,042-596-1775,秋本　忠
33,Otsu　Nature　Garden,東京都あきる野市乙津１２９３番地,,東京あきる野アウトドアリゾート株式会社,東京都あきる野市伊奈１１４５番地,菓子製造業(その他の菓子製造業),新規,,2017/5/16,042-596-1775,秋本　忠
34,甘味カフェ　暖家,東京都あきる野市乙津１３３１番地１,,,,飲食店営業(一般飲食店),更新,042-596-2285,2011/8/22,,
35,和が家　花もみじ,東京都あきる野市乙津１３３５番地,,,,つけ物製造業,更新,,2005/7/11,,
36,有限会社  池谷,東京都あきる野市乙津１７０番地,,有限会社  池谷,東京都あきる野市乙津１７０番地,そうざい製造業,更新,042-596-0542,2011/4/7,042-596-0542,森屋  一穂
37,田中さん家,東京都あきる野市乙津２３３２番地５,,,,菓子製造業(その他の菓子製造業),新規,042-595-1597,2017/10/3,,
38,渓谷BBQ,東京都あきる野市乙津７８９番地１,,株式会社KEIKOKU,東京都あきる野市乙津７８９番地１,飲食店営業(一般飲食店),新規,042-550-0147,2017/1/18,042-550-0147,堀越　由真
39,渓谷BBQ,東京都あきる野市乙津７８９番地１,,株式会社KEIKOKU,東京都あきる野市乙津７８９番地１,食肉販売業(一般),新規,042-550-0147,2017/1/18,042-550-0147,堀越　由真
40,渓谷BBQ,東京都あきる野市乙津７８９番地１,,株式会社KEIKOKU,東京都あきる野市乙津７８９番地１,魚介類販売業(一般),新規,042-550-0147,2017/1/18,042-550-0147,堀越　由真
41,渓谷BBQ,東京都あきる野市乙津７８９番地１,,株式会社KEIKOKU,東京都あきる野市乙津７８９番地１,食料品等販売業(店舗),新規,042-550-0147,2017/1/18,042-550-0147,堀越　由真
42,レストランフォーレスト,東京都あきる野市乙津８１０番地,,有限会社  松村商店,東京都あきる野市小中野１１６番地,飲食店営業(一般飲食店),更新,042-595-2210,1994/8/1,042-596-0253,松村　和夫
43,ファミリーマートあきる野市下代継店,東京都あきる野市下代継２３番地１,,,,菓子製造業(その他の菓子製造業),新規,042-532-2430,2017/5/2,,
44,あじまんケーヨーデイツーあきる野店,東京都あきる野市下代継４８番地,,株式会社あじまん,山形県天童市乱川三丁目６番１号,菓子製造業(その他の菓子製造業),新規,042-532-3644,2017/9/21,,佐藤　友紀
45,やまねこ亭,東京都あきる野市舘谷２２０番地９,,,,飲食店営業(一般飲食店),更新,042-596-6321,1999/3/15,,
46,do-mo kitchen CANVAS,東京都あきる野市舘谷２２３番地１０,,,,飲食店営業(一般飲食店),新規,042-519-9653,2017/9/20,,
47,松村商店,東京都あきる野市舘谷２４１番地,,有限会社  松村商店,東京都あきる野市小中野１１６番地,飲食店営業(そうざい店),更新,042-596-4129,1992/4/10,042-596-0253,松村　和夫
48,松村商店,東京都あきる野市舘谷２４１番地,,有限会社  松村商店,東京都あきる野市小中野１１６番地,食肉販売業(一般),更新,042-596-4129,1992/4/10,042-596-0253,松村　和夫
49,ニューデイズ武蔵五日市,東京都あきる野市舘谷台１６番地,,株式会社JR東日本リテールネット,東京都新宿区西新宿二丁目３番１号,乳類販売業(ショーケース売り),更新,042-595-2684,1996/7/5,0426-21-6853,高橋　眞
50,ニューデイズ武蔵五日市,東京都あきる野市舘谷台１６番地,,株式会社JR東日本リテールネット,東京都新宿区西新宿二丁目３番１号,食料品等販売業(店舗),更新,042-595-2684,1996/7/5,0426-21-6853,高橋　眞
51,カフェテラス　木いちご,東京都あきる野市原小宮３０８番地８,,,,飲食店営業(一般飲食店),更新,042-559-7326,2004/12/21,,
52,セブンーイレブン　あきる野戸倉店,東京都あきる野市戸倉１８３番地,,,,飲食店営業(一般飲食店),更新,042-596-0209,2010/3/17,,
53,セブンーイレブン　あきる野戸倉店,東京都あきる野市戸倉１８３番地,,,,乳類販売業(ショーケース売り),更新,042-596-0209,2010/3/17,,
54,セブンーイレブン　あきる野戸倉店,東京都あきる野市戸倉１８３番地,,,,食肉販売業(包装),更新,042-596-0209,2010/3/17,,
55,セブンーイレブン　あきる野戸倉店,東京都あきる野市戸倉１８３番地,,,,魚介類販売業(包装),更新,042-596-0209,2010/3/17,,
56,セブンーイレブン　あきる野戸倉店,東京都あきる野市戸倉１８３番地,,,,食料品等販売業(店舗),更新,042-596-0209,2010/3/17,,
57,あきる野市自然休養村　山溪,東京都あきる野市戸倉２５０番地,,農事組合法人西坂観光農業センター,東京都あきる野市戸倉２５０番地,飲食店営業(旅館・ホテル),更新,042-595-1177,1979/6/7,042-595-1177,須藤　勝也
58,居酒屋　美松,東京都あきる野市五日市１６４番地,,,,飲食店営業(一般飲食店),更新,042-596-0704,2004/6/4,,
59,紀伊国屋,東京都あきる野市五日市３８番地,,,,飲食店営業(一般飲食店),更新,042-596-0020,1979/10/26,,
60,魚治,東京都あきる野市五日市６８番地,,,,飲食店営業(すし屋),更新,042-596-0101,1999/3/30,,
61,東屋豆腐店,東京都あきる野市五日市６番地,,,,豆腐製造業,更新,042-596-0333,1999/7/19,,
62,丸市屋,東京都あきる野市五日市８７２番地,,,,飲食店営業(仕出し屋),更新,042-596-0513,1987/5/14,,
63,丸市屋,東京都あきる野市五日市８７２番地,,,,乳類販売業(ショーケース売り),更新,042-596-0513,1987/5/14,,
64,丸市屋,東京都あきる野市五日市８７２番地,,,,魚介類販売業(一般),更新,042-596-0513,1987/5/14,,
65,丸市屋,東京都あきる野市五日市８７２番地,,,,氷雪販売業,更新,042-596-0513,1987/5/14,,
66,丸市屋,東京都あきる野市五日市８７２番地,,,,食料品等販売業(店舗),更新,042-596-0513,1991/5/27,,
67,,東京都あきる野市三内１１９番地,,,,菓子製造業(生菓子製造業),新規,042-596-1099,2017/5/10,,
68,,東京都あきる野市三内１１９番地,,,,つけ物製造業,更新,042-596-1099,1982/5/7,,
69,初後亭,東京都あきる野市三内２３３番地,,,,飲食店営業(一般飲食店),更新,042-596-0541,2005/11/11,,
70,小机邸　喫茶室　安居,東京都あきる野市三内４９０番地,,,,飲食店営業(一般飲食店),更新,042-596-0068,2011/4/4,,
71,まいまい坂の里,東京都あきる野市三内５４９番地,,,,飲食店営業(一般飲食店),新規,042-588-5560,2017/9/15,,
